2026-06-21 19:56:09 - NAME:תומר
2026-06-21 19:56:16 - NAME:
2026-06-21 19:56:32 - NAME:תומר
2026-06-21 19:56:46 - CITY:חדרה
2026-06-21 20:04:48 - NAME:תומר
2026-06-21 20:04:55 - NAME:
2026-06-21 20:05:02 - NAME:
2026-06-21 20:05:16 - CITY:חדרה
2026-06-21 20:05:25 - NAME:תומר
2026-06-21 20:05:31 - CATS:
2026-06-21 20:08:07 - NAME:תומר
2026-06-21 20:08:14 - CITY:חדרה
2026-06-21 20:08:22 - CATS:שני חתולים
2026-06-21 20:15:13 - CATS:שני חת
2026-06-21 20:15:22 - CATS:שני חתולים
2026-06-22 13:05:15 - Person detected
2026-06-22 13:05:25 - Person detected
2026-06-22 13:05:35 - Person detected
2026-06-22 13:05:45 - Person detected
2026-06-22 13:07:13 - Person detected
2026-06-22 13:07:23 - Person detected
2026-06-22 13:15:39 - Person detected
2026-06-22 13:15:49 - Person detected
2026-06-22 13:53:29 - Person detected
2026-06-22 14:00:02 - Person detected
2026-06-22 14:00:12 - Person detected
2026-06-22 14:03:25 - Person detected
2026-06-22 14:03:35 - Person detected
2026-06-22 14:03:45 - Person detected
2026-06-22 14:03:55 - Person detected
2026-06-22 14:04:00 - Cat detected
2026-06-22 14:04:06 - Person detected
2026-06-22 14:04:10 - Cat detected
2026-06-22 14:04:17 - Person detected
2026-06-22 14:04:27 - Person detected
2026-06-22 14:04:37 - Person detected
2026-06-22 14:23:51 - Person detected
2026-06-22 14:24:01 - Person detected
2026-06-22 14:24:11 - Person detected
2026-06-22 14:24:21 - Person detected
2026-06-22 14:24:32 - Person detected
2026-06-22 14:24:42 - Person detected
2026-06-22 14:37:09 - Person detected
2026-06-22 14:37:20 - Person detected
2026-06-22 14:37:30 - Person detected
2026-06-22 14:37:40 - Person detected
2026-06-22 14:37:50 - Person detected
2026-06-22 14:38:00 - Person detected
2026-06-22 14:38:10 - Person detected
2026-06-22 14:38:20 - Person detected
2026-06-22 14:38:30 - Person detected
2026-06-22 18:08:31 - Person detected
2026-06-22 18:08:41 - Person detected
2026-06-22 18:13:32 - Person detected
2026-06-22 18:13:42 - Person detected
2026-06-22 18:13:52 - Person detected
2026-06-22 18:25:36 - Person detected
2026-06-22 18:25:46 - Person detected
2026-06-22 18:25:56 - Person detected
2026-06-22 18:26:06 - Person detected
2026-06-22 18:26:16 - Person detected
2026-06-22 18:26:26 - Person detected
2026-06-22 18:26:36 - Person detected
2026-06-22 18:26:46 - Person detected
2026-06-22 18:26:56 - Person detected
2026-06-22 18:30:36 - Person detected
2026-06-22 18:30:46 - Person detected
2026-06-22 18:30:56 - Person detected
2026-06-22 18:31:06 - Person detected
2026-06-24 13:55:07 - Person detected
2026-06-24 13:55:17 - Person detected
2026-06-24 13:55:27 - Person detected
2026-06-24 13:55:37 - Person detected
2026-06-24 13:55:47 - Person detected
2026-06-24 13:55:57 - Person detected
2026-06-24 13:56:07 - Person detected
2026-06-24 14:11:48 - Person detected
2026-06-24 14:11:58 - Person detected
2026-06-24 14:12:08 - Person detected
2026-06-24 14:12:18 - Person detected
2026-06-24 14:12:29 - Person detected
2026-06-24 14:17:05 - Person detected
2026-06-24 14:17:15 - Person detected
2026-06-24 14:17:25 - Person detected
2026-06-26 08:33:02 - Person detected
2026-06-26 08:33:13 - Person detected
2026-06-26 08:33:24 - Person detected
2026-06-26 08:33:34 - Person detected
2026-06-26 08:33:44 - Person detected
2026-06-26 08:33:54 - Person detected
2026-06-26 08:34:04 - Person detected
2026-06-26 08:34:15 - Person detected
2026-06-26 08:34:25 - Person detected
2026-06-26 08:34:35 - Person detected
2026-06-26 08:34:45 - Person detected
2026-07-06 22:15:20 - Person detected
2026-07-06 22:15:30 - Person detected
2026-07-06 22:15:40 - Person detected
2026-07-06 22:15:51 - Person detected
2026-07-06 22:16:01 - Person detected
2026-07-06 22:18:07 - Person detected
2026-07-06 22:18:17 - Person detected
2026-07-06 22:18:27 - Person detected
2026-07-06 22:18:37 - Person detected
2026-07-06 22:18:47 - Person detected
2026-07-06 22:18:58 - Person detected
2026-07-06 22:19:08 - Person detected
2026-07-06 22:37:19 - Person detected
2026-07-06 22:37:19 - Cat detected
2026-07-06 22:37:29 - Cat detected
2026-07-06 22:37:29 - Person detected
2026-07-06 22:37:39 - Person detected
2026-07-06 22:37:39 - Cat detected
2026-07-06 22:37:49 - Person detected
2026-07-06 22:37:49 - Cat detected
2026-07-06 22:37:59 - Person detected
2026-07-06 22:37:59 - Cat detected
2026-07-06 22:38:09 - Person detected
2026-07-06 22:38:10 - Cat detected
2026-07-06 22:38:19 - Person detected
2026-07-06 22:38:20 - Cat detected
2026-07-06 22:38:30 - Person detected
2026-07-06 22:38:30 - Cat detected
2026-07-06 22:40:29 - Person detected
2026-07-06 22:40:39 - Person detected
2026-07-06 22:40:49 - Person detected
2026-07-06 22:40:59 - Person detected
2026-07-07 12:42:55 - Person detected
2026-07-07 12:43:05 - Person detected
2026-07-07 12:43:15 - Person detected
2026-07-07 12:43:25 - Person detected
2026-07-07 12:43:35 - Person detected
2026-07-07 12:43:45 - Person detected
2026-07-07 12:43:55 - Person detected
2026-07-07 12:44:05 - Person detected
2026-07-07 12:44:15 - Person detected
2026-07-08 16:30:34 - Person detected
2026-07-08 16:30:44 - Person detected
2026-07-08 16:30:54 - Person detected
2026-07-08 16:30:57 - Cat detected
2026-07-08 16:31:04 - Person detected
2026-07-08 16:31:14 - Person detected
2026-07-08 16:31:24 - Person detected
2026-07-08 16:31:34 - Person detected
2026-07-08 16:31:40 - Cat detected
2026-07-08 16:31:44 - Person detected
2026-07-08 16:31:54 - Person detected
2026-07-08 16:32:04 - Person detected
2026-07-08 16:32:14 - Person detected
2026-07-08 16:32:24 - Person detected
